sku,nombre,precio_oferta,precio_normal,precio_oferta_cashea,precio_normal_cashea,is_available
PERHPP150705150,"Perfil  LF Marco de Puerta B15 x 0,70mm x 5,15mts",,16.1,,20.3,
PERHPHSM0906100,"Perfil  LF Hoja Santa Maria x 0,90mm x 6,10mts",,16.2,,20.42608696,
PERHPV150705150,"Perfil  LF Marco de Ventana B15 x 0,70mm x 5,15mts",,15.2,,19.16521739,
PERHPHSM0606100,"Perfil  LF Hoja Santa Maria x 0,60mm x 6,10mts",,10.9,,13.74347826,
PERHPV151105150,"Perfil  LF Marco de Ventana B15 x 1,10mm x 5,15mts",,23.35,,29.44130435,
PERHNOME2006000,"Perfil  LC Omega 60mm x 2,00mm x 6,00m",,27.66,,34.87565217,
PERHPOME2006000,"Perfil  LF Omega 60mm x 1,10mm x 6,00m",15.7,17,19.79565217,21.43478261,
LAMHP10012002400,"Lamina  L.F. 1,00mm x 1200mm x 2400mm",,36.1,,45.5173913,
LAMHN29012202400,"Lamina  L.C. 3,00mm x 1200mm x 2400mm",104.65,111.6,131.95,140.7130435,
LAMHN60010002400,"Lamina  L.C. 6,00mm x 1000mm x 2400mm",,178.5,,225.0652174,
LAMHN40010002400,"Lamina  L.C. 4,00mm x 1000mm x 2400mm",,117.1,,147.6478261,
TUB000HNE235A00080A00040L06000,"Tubo  L.C. 80mm x 40mm x 2,35mm x 6000mm",,37.5,,47.2826087,
TAMSTMHPE190A00009A00002L00000,"Tambor  Para Puerta Sta Maria 9 x 2 x 1,10mm",,10.6,,13.36521739,
BDRSTMHNE300A00350A00330L00000,Bandera  Izq/Der Para Puerta Sta Maria,,13.2,,16.64347826,
LAMHN80012006000,"Lamina  L.C. 8,00mm x 1200mm x 6000mm",,675.1,,851.2130435,
PERHPOME1106000,"Perfil  LF Onge 1 1/4 x 1,40mm x 6,00mts",,14.5,,18.2826087,
LAMGV12012002400,"Lamina  Galv. 1,20mm x 1200mm x 2400mm",,47.5,,59.89130435,
LAMGV14512192400,"Lamina  Galv. 1,45mm x 1219mm x 2400mm",,58.2,,73.3826087,
PUMSACHPE000A00090IZQ,Puerta  Metalica Sencilla Acanalada Aros Con Marco B15 Calibre 19,150,188.9,189.1304348,238.1782609,
